# CLDR symbol names for hy: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
!	բացականչության նշան	բացականչության կետ | բացականչության նշան | բացականչություն | հարված
◀	հետադարձման կոճակ	եռանկյուն | հետադարձել | հետադարձման կոճակ | ձախ | սլաք
◁	սնամեջ ձախ ուղղված եռանկյուն	սնամեջ ձախ ուղղված եռանկյուն
◂	հոծ ձախ ուղղված փոքր եռանկյուն	հոծ ձախ ուղղված փոքր եռանկյուն
◃	սնամեջ ձախ ուղղված փոքր եռանկյուն	սնամեջ ձախ ուղղված փոքր եռանկյուն
◄	հոծ ձախ ուղղված ցուցիչ	հոծ ձախ ուղղված ցուցիչ
◅	սնամեջ ձախ ուղղված ցուցիչ	սնամեջ ձախ ուղղված ցուցիչ
◆	հոծ ադամանդ	հոծ ադամանդ
◇	սնամեջ ադամանդ	սնամեջ ադամանդ
◈	հոծ ադամանդ պարունակող սնամեջ ադամանդ	հոծ ադամանդ պարունակող սնամեջ ադամանդ
◉	հոծ շրջան պարունակող սնամեջ շրջան	լցված | խոռոչ | կետ | համակենտրոն | ձկան աչք | շրջան | շրջանագիծ
◊	շեղանկյուն	շեղանկյուն
○	սնամեջ շրջան	շրջան | սնամեջ շրջան | օղ | օղակ
◌	կետագծային շրջան	կետագծային շրջան
◍	ուղղաձիգ լցված շրջան	ուղղաձիգ լցված շրջան
◎	ցլաչք	թիրախ | կրկնակի շրջան | համակենտրոն շրջաններ | ցլաչք
●	հոծ շրջան	հոծ շրջան | շրջան
◐	ձախ կեսը լցված շրջան	ձախ կեսը լցված շրջան
◑	աջ կեսը լցված շրջան	աջ կեսը լցված շրջան
◒	ստորին կեսը լցված շրջան	ստորին կեսը լցված շրջան
◓	վերին կեսը լցված շրջան	վերին կեսը լցված շրջան
◔	վերին աջ քառորդը լցված շրջան	վերին աջ քառորդը լցված շրջան
◕	ամբողջը, բացի վերին ձախ քառորդից լցված շրջան	ամբողջը | ամբողջը, բացի վերին ձախ քառորդից լցված շրջան | բացի վերին ձախ քառորդից լցված շրջան
◖	ձախ հոծ կիսաշրջան	ձախ հոծ կիսաշրջան
◗	աջ հոծ կիսաշրջան	աջ հոծ կիսաշրջան
◘	հակադարձ կետանշան	հակադարձ կետանշան
◙	հակադարձ սնամեջ շրջան	հակադարձ սնամեջ շրջան
◜	վերին ձախ քառորդի շրանային աղեղ	վերին ձախ քառորդի շրանային աղեղ
◝	վերին աջ քառորդի շրանային աղեղ	վերին աջ քառորդի շրանային աղեղ
◞	ստորին աջ քառորդի շրանային աղեղ	ստորին աջ քառորդի շրանային աղեղ
◟	ստորին ձախ քառորդի շրանային աղեղ	ստորին ձախ քառորդի շրանային աղեղ
◠	վերին կիսաշրջանային աղեղ	վերին կիսաշրջանային աղեղ
◡	ստորին կիսաշրջանային աղեղ	ստորին կիսաշրջանային աղեղ
◢	հոծ ստորին աջ եռանկյուն	հոծ ստորին աջ եռանկյուն
◣	հոծ ստորին ձախ եռանկյուն	հոծ ստորին ձախ եռանկյուն
◤	հոծ վերին ձախ եռանկյուն	հոծ վերին ձախ եռանկյուն
◥	հոծ վերին աջ եռանկյուն	հոծ վերին աջ եռանկյուն
◦	սնամեջ կետանշան	սնամեջ կետանշան
◯	մեծ սնամեջ շրջան	դատարկ | մեծ սնամեջ շրջան | շրջան | օղ | օղակ
◳	սնամեջ քառակուսու վերին աջ քառորդ	սնամեջ քառակուսու վերին աջ քառորդ
◷	սնամեջ շրանի վերին աջ քառորդ	սնամեջ շրանի վերին աջ քառորդ
◻	սպիտակ միջին չափի քառակուսի	երկրաչափական | սպիտակ միջին չափի քառակուսի | քառակուսի
◼	սև միջին չափի քառակուսի	երկրաչափական | սև միջին չափի քառակուսի | քառակուսի
◿	ստորին աջ եռանկյուն	ստորին աջ եռանկյուն
☀	արև	արեգակ | արև | արևոտ | եղանակ | ճառագայթներ | պայծառ | տիեզերք
☁	ամպ	ամպ | եղանակ
☂	անձրևանոց	անձրև | անձրևանոց | եղանակ | հագուստ
☃	ձնեմարդ	եղանակ | ձյուն | ձնեմարդ | սառը
☄	գիսաստղ	գիսաստղ | տիեզերք
☎	հեռախոս	հեռախոս
☑	նշված վանդակ	✓ | թռչնիկ | նշավանդակ | նշված վանդակ | վանդակ
☘	երեքնուկ	բույս | երեքնուկ
☝	վեր ուղղված ցուցամատ	ձեռք | ձեռքի ափ | մատ | մարմին | ուղղված | վեր | ցուցամատ
☠	գանգ և խաչված ոսկորներ	գանգ | գանգ և խաչված ոսկորներ | դեմք | խաչված | հրեշ | մահ | մարմին | ոսկորներ
☢	ռադիոակտիվ	նշան | ռադիոակտիվ
☣	կենսաբանական վտանգ	կենսաբանական վտանգ | կենսաբանական վտանգի նշան
☦	ուղղափառ խաչ	խաչ | կրոն | ուղղափառ խաչ | քրիստոնյա
☪	աստղ և մահիկ	աստղ և մահիկ | իսլամ | կրոն | մուսուլման
☮	խաղաղության նշան	խաղաղության նշան | խաղաղություն
☯	ին յան	դաո | դաոական | ին | կրոն | յան
☸	դհարմայի անիվ	անիվ | բուդդայական | դհարմա | դհարմայի անիվ | կրոն
☹	խոժոռված դեմք	դեմք | խոժոռ | խոժոռված դեմք
☺	ժպտացող դեմք	անկաշկանդ | դեմք | ժպտալ | ժպտացող դեմք
♀	կնոջ նշան	կին | կնոջ նշան
♂	տղամարդու նշան	տղամարդ | տղամարդու նշան
♟	շախմատի զինվոր	զինվոր | շախմատ | շախմատի զինվոր | ֆիգուր
♠	ղառ	ագռավ | թղթախաղ | խաղ | խաղաթուղթ | ղառ
♣	խաչ	թղթախաղ | խաղ | խաչ
♥	սիրտ	թղթախաղ | թուղթ | խաղ | խաղաթուղթ | սիրտ | սրտեր | փոսիկ
♦	քյափ	ագուռ | թղթախաղ | խաղ | քյարփինջ | քյափ
♨	տաք աղբյուրներ	աղբյուրներ | հոսք | տաք
♪	ութերորդական ձայնանիշ	երաժշտություն | ձայնանիշ | ութերորդական
♭	կիսվար	բեմոլ | երաժշտություն | կիսվար | ձայնանիշ
♯	կիսվեր	դիեզ | երաժշտություն | կիսվեր | ձայնանիշ
♻	վերամշակման նշան	վերամշակել | վերամշակման նշան
♾	անվերջություն	անսահման | անվերջ | անվերջություն | մշտնջենական
⚒	մուրճեր	գործիք | մուրճ | մուրճեր
⚔	խաչված սրեր	զենք | խաչված | սրեր
⚕	բժշկության խորհրդանիշ	բժիշկ | բժշկության խորհրդանիշ | բժշկություն
⚖	նժարավոր կշեռք	արդարություն | գործիք | ծանրություն | կենդանակերպ | կշեռք | հավասարակշռություն | նժարավոր կշեռք
⚗	թորիչ	գործիք | թորիչ | քիմիա
⚙	ատամնանիվ	ատամնանիվ | գործիք
⚛	ատոմի նշան	աթեիստ | ատոմ | ատոմի նշան
⚜	թագավորական շուշան	թագավորական շուշան
⚠	զգուշացում	զգուշացում
⚧	տրանսգենդերի նշան	տրանսգենդեր | տրանսգենդերի նշան
⚰	դագաղ	դագաղ | մահ
⚱	աճյունասափոր	աճյունասափոր | հուղարկավորություն | մահ
⛈	կայծակով և անձրևով ամպ	ամպ | ամպրոպ | անձրև | եղանակ | կայծակով և անձրևով ամպ
⛏	քլունգ	գործիք | հանք | քլունգ
⛑	փրկարարի սաղավարտ	գլխարկ | դեմք | խաչ | սաղավարտ | փրկարարի սաղավարտ | օգնություն
⛓	շղթաներ	շղթա | շղթաներ
⛩	սինտոյական տաճար	կրոն | սինտոյական | տաճար
⛰	լեռ	լեռ | սար
⛱	անձրևանոց գետնի վրա	անձրև | անձրևանոց | անձրևանոց գետնի վրա | արև | եղանակ
⛴	լաստանավ	լաստանավ | նավակ
⛷	դահուկորդ	դահուկ | դահուկորդ | ձյուն
⛸	չմուշկ	չմուշկ | սառույց
⛹	գնդակով մարդ	գնդակ | գնդակով մարդ
✂	մկրատ	գործիք | մկրատ
✈	ինքնաթիռ	ինքնաթիռ | փոխադրամիջոց | օդանավ
✉	ծրար	էլփոտ | ծրար | նամակ
✌	հաղթական ձեռք	v | հաղթական ձեռք | հաղթանակ | ձեռք | մարմին
✍	գրող ձեռք	գրել | գրող ձեռք | ձեռք | մարմին
✏	մատիտ	մատիտ
✒	սև գրչածայր	գրիչ | գրչածայր | սև գրչածայր
✔	ստուգանշան	✓ | թռչնիկ | ստուգանշան
✖	բազմապատկում	բազմապատկման նշան | բազմապատկում | նշան | չեղարկել
✝	լատինական խաչ	լատինական խաչ | խաչ | կրոն | քրիստոնյա
✡	դավթի աստղ	աստղ | դավթի աստղ | դավիթ | կրոն | հրեա | հրեական
✳	ութ թևանի աստղանիշ	աստղանիշ | ութ թևանի աստղանիշ
✴	ութ թևանի աստղ	* | աստղ | ութ թևանի աստղ
❄	ձյան փաթիլ	եղանակ | ձյան փաթիլ | ձյուն | սառը
❇	կայծիկ	* | կայծիկ
❣	սիրտ-բացականչություն	բացականչություն | կետադրական | նշան | սիրտ | սիրտ-բացականչություն
❤	կարմիր սիրտ	կարմիր | սիրտ
➡	աջ սլաք	աջ սլաք | արևելք | գլխավոր | ուղղություն | սլաք
⤴	ձախից վերև թեքվող սլաք	ձախից վերև թեքվող սլաք | սլաք
⤵	ձախից ներքև թեքվող սլաք	ձախից ներքև թեքվող սլաք | ներքև | սլաք
⨧	պլյուս՝ ենթագիր երկուսով	պլյուս՝ ենթագիր երկուսով
⨯	վեկտոր կամ խաչ արտադրյալ	վեկտոր կամ խաչ արտադրյալ
⨼	ներքին արտադրյալ	ներքին արտադրյալ
⩣	տրամաբանական կամ կրկնակի ենթաձող	տրամաբանական կամ կրկնակի ենթաձող
⩽	փոքր-քան շեղված հավասար	փոքր-քան շեղված հավասար
⪍	փոքր-քան՝ նույնական հավասրի վերեւում	փոքր-քան՝ նույնական հավասրի վերեւում
⪚	կրկինակի գծով հավասար մեծ-քան	կրկինակի գծով հավասար մեծ-քան
⪺	հաջորդում է՝ ոչ այնքան հավասարի վերեւում	հաջորդում է՝ ոչ այնքան հավասարի վերեւում
⬅	ձախ սլաք	արևմուտք | գլխավոր | ձախ սլաք | ուղղություն | սլաք
⬆	վերև սլաք	գլխավոր | հյուսիս | ուղղություն | սլաք | վերև սլաք
⬇	ներքև սլաք	գլխավոր | հարավ | ներքև | ուղղություն | սլաք
、	գաղափարագիր ստորակետ	գաղափարագիր ստորակետ | գաղափարագրային | ստորակետ
。	գաղափարագրային կետ	գաղափարագրային | կետ | վերջակետ
〈	բացող անկյունաձեւ փակագիծ	անկյունաձեւ փակագիծ | բացող անկյունաձեւ փակագիծ | փակագիծ
〉	փակող անկյունաձեւ փակագիծ	անկյունաձեւ փակագիծ | փակագիծ | փակող անկյունաձեւ փակագիծ
《	բացող կրկնակի անկյունաձեւ փակագիծ	բացող կրկնակի անկյունաձեւ փակագիծ | կրկնակի անկյունաձեւ փակագիծ | փակագիծ
》	փակող կրկնակի անկյունաձեւ փակագիծ	կրկնակի անկյունաձեւ փակագիծ | փակագիծ | փակող կրկնակի անկյունաձեւ փակագիծ
「	բացող անկյունային փակագիծ	անկյունային փակագիծ | բացող անկյունային փակագիծ | փակագիծ
」	փակող անկյունային փակագիծ	անկյունային փակագիծ | փակագիծ | փակող անկյունային փակագիծ
『	բացող սնամեջ անկյունային փակագիծ	բացող սնամեջ անկյունային փակագիծ | սնամեջ անկյունային փակագիծ | փակագիծ
』	փակող սնամեջ անկյունային փակագիծ	սնամեջ անկյունային փակագիծ | փակագիծ | փակող սնամեջ անկյունային փակագիծ
【	բացող սեւ ոսպնյակաձեւ փակագիծ	բացող սեւ ոսպնյակաձեւ փակագիծ | սեւ ոսպնյակաձեւ փակագիծ | փակագիծ
】	փակող սեւ ոսպնյակաձեւ փակագիծ	սեւ ոսպնյակաձեւ փակագիծ | փակագիծ | փակող սեւ ոսպնյակաձեւ փակագիծ
〔	բացող կրիայաձեւ փակագիծ	բացող կրիայաձեւ փակագիծ | կրիայաձեւ փակագիծ | փակագիծ
〕	փակող կրիայաձեւ փակագիծ	կրիայաձեւ փակագիծ | փակագիծ | փակող կրիայաձեւ փակագիծ
〖	բացող սնամեջ ոսպնյակաձեւ փակագիծ	բացող սնամեջ ոսպնյակաձեւ փակագիծ | սնամեջ ոսպնյակաձեւ փակագիծ | փակագիծ
〗	փակող սնամեջ ոսպնյակաձեւ փակագիծ	սնամեջ ոսպնյակաձեւ փակագիծ | փակագիծ | փակող սնամեջ ոսպնյակաձեւ փակագիծ
〰	ալիքաձև գծիկ	ալիքաձև | գծիկ | կետադրություն
〽	իորիտեն	իորիտեն | մաս | նշել
・	կատականայի միջակետ	կատականա | կատականայի միջակետ | միջակետ
㊗	շնորհավորել գաղափարագիր շրջանակի մեջ	գաղափարագիր | շնորհավորանք | շնորհավորել գաղափարագիր շրջանակի մեջ | չինական | չինարեն
㊙	գաղտնի գաղափարագիր շրջանակի մեջ	գաղափարագիր | գաղտնի գաղափարագիր շրջանակի մեջ | գաղտնիք | ճապոնական «գաղտնի» կոճակ | ճապոներեն
﷼	ռիալ	արժույթ | ռիալ
🅰	էյ կոճակ	a | արյուն | էյ կոճակ
🅱	բի կոճակ	b | արյուն | բի կոճակ
🅾	օ կոճակ	o | արյուն | օ կոճակ
🅿	փի կոճակ	կայանատեղի | փի կոճակ
🈂	կատականա սա	կատականա սա | ճապոնական | ճապոներեն
🈷	լուսին գաղափարագիր	լուսին գաղափարագիր | ճապոնական | ճապոներեն
🌡	ջերմաչափ	եղանակ | ջերմաչափ
🌤	արև փոքր ամպի հետևում	ամպ | արև | արև փոքր ամպի հետևում | եղանակ
🌥	արև մեծ ամպի հետևում	ամպ | արև | արև մեծ ամպի հետևում | եղանակ
🌦	արև անձրևով ամպի հետևում	ամպ | անձրև | արև | արև անձրևով ամպի հետևում | եղանակ
🌧	անձրևով ամպ	ամպ | անձրև | անձրևով ամպ | եղանակ
🌨	ձյունով ամպ	ամպ | եղանակ | ձյուն | ձյունով ամպ | սառը
🌩	կայծակով ամպ	ամպ | եղանակ | կայծակ | կայծակով ամպ
🌪	պտտահողմ	ամպ | եղանակ | պտտահողմ
🌫	մառախուղ	ամպ | եղանակ | մառախուղ
🌬	քամու երես	ամպ | դեմք | եղանակ | փչել | քամի | քամու երես
🌶	կծու պղպեղ	բույս | կծու | պղպեղ
🍽	պատառաքաղ և դանակ ափսեի հետ	ափսե | դանակ | խոհարարություն | պատառաքաղ | պատառաքաղ և դանակ ափսեի հետ
🎖	ռազմական մեդալ	մեդալ | ռազմական | տոն
🎗	հուշաժապավեն	ժապավեն | հուշ | հուշաժապավեն | տոն
🎙	ստուդիայի խոսափող	երաժշտություն | խոսափող | ստուդիա | ստուդիայի խոսափող
🎚	ձայնի բարձրության սահոց	երաժշտություն | ձայնի բարձրության սահոց | մակարդակ | սահոց
🎛	կառավարման կոճակներ	երաժշտություն | կառավարել | կառավարման կոճակներ | կոճակներ
🎞	ժապավենի կադրեր	ժապավեն | ժապավենի կադրեր | կադր | կինո
🎟	մուտքի տոմս	մուտք | մուտքի տոմս | տոմս
🏋	ծանրորդ	ծանրորդ | ծանրություն
🏌	գոլֆ խաղացող	գնդակ | գոլֆ | գոլֆ խաղացող
🏍	մոտոցիկլետ	մոտոցիկլետ | մրցարշավ
🏎	մրցարշավային մեքենա	մեքենա | մրցարշավ | մրցարշավային մեքենա
🏔	ձյունածածկ գագաթով լեռ	լեռ | ձյուն | ձյունածածկ գագաթով լեռ | սառը
🏕	ճամբար	արշավ | ճամբար | վրաններ
🏖	լողափ հովանոցով	լողափ | լողափ հովանոցով | հովանոց
🏗	շենքի կառուցում	շենք | շենքի կառուցում | շինարարություն
🏘	տներ	շենք | տներ | տուն
🏙	քաղաքային պատկեր	շենք | քաղաք | քաղաքային պատկեր
🏚	լքված շինություն	լքված | լքված շինություն | շենք | տուն
🏛	հունահռոմեական շինություն	հունահռոմեական | շինություն
🏜	անապատ	անապատ
🏝	անմարդաբնակ կղզի	անմարդաբնակ | կղզի
🏞	ազգային զբոսայգի	ազգային զբոսայգի | զբոսայգի
🏟	մարզադաշտ	մարզադաշտ
🏳	ծածանվող սպիտակ դրոշ	ծածանվող | ծածանվող սպիտակ դրոշ | սպիտակ դրոշ
🏵	վարդանախշ	բույս | վարդակ | վարդանախշ
🏷	պիտակ	պիտակ
🐿	շերտասկյուռ	շերտասկյուռ
👁	աչք	աչք | մարմին
📽	ժապավենային պրոյեկտոր	ժապավեն | ժապավենային պրոյեկտոր | կինո | պրոյեկտոր | վիդեո | ֆիլմ
🕉	օմ	կրոն | հնդիկ | օմ
🕊	աղավնի	աղավնի | թռչել | թռչուն | խաղաղություն
🕯	մոմ	լույս | մոմ
🕰	կրակարանի ժամացույց	ժամացույց | կրակարանի ժամացույց
🕳	անցք	անցք | փոս
🕴	կոստյումով ճախրող մարդ	անձ | գործարարություն | կոստյումով ճախրող մարդ | հագուստ | տեղաճախրող անձ | տեղում ճախրող գործնական կոստյումով մարդ | տեղում ճախրող գործնական հագուստով մարդ
🕵	խուզարկու	լրտես | խուզարկու
🕶	արևային ակնոց	ակնոց | աչք | արևային ակնոց | մուգ
🕷	սարդ	միջատ | սարդ
🕸	սարդոստայն	ոստայն | սարդ | սարդոստայն | ցանց
🕹	ջոյսթիք	խաղ | ձողղեկ | տեսախաղ
🖇	միացված ամրակներ	ամրակ | միացնել | միացված ամրակներ
🖊	գրիչ	գնդիկավոր գրիչ | գրիչ
🖋	ինքնահոս գրիչ	գրիչ | ինքնահոս
🖌	վրձին	ներկել | նկարել | վրձին
🖍	յուղամատիտ	գունավոր մատիտ | մոմամատիտ | յուղամատիտ
🖐	բացված մատներով բարձրացված ձեռք	բացված | բացված մատներով բարձրացված ձեռք | ձեռք | մատ | մարմին
🖥	սեղանի համակարգիչ	համակարգիչ | սեղան | սեղանի համակարգիչ
🖨	տպիչ	համակարգիչ | տպիչ
🖱	համակարգչի մկնիկ	3 | երեք | կոճակ | համակարգիչ | համակարգչի մկնիկ | մկնիկ
🖲	թրեքբոլ	թրեքբոլ | համակարգիչ
🖼	շրջանակ նկարով	արվեստ | թանգարան | նկար | նկարչություն | շրջանակ | շրջանակ նկարով
🗂	քարտադարանի բաժանարարներ	բաժանարար | ինդեքս | քարտ | քարտադարանի բաժանարարներ
🗃	քարտադարանի արկղ	արկղ | քարտ | քարտադարանի արկղ | ֆայլ
🗄	պահարան	պահարան | ֆայլ
🗑	աղբաման	աղբաման
🗒	պարուրավոր նոթատետր	գրքույկ | պարույր | պարուրավոր նոթատետր | տետր
🗓	պարուրավոր օրացույց	գրքույկ | պարույր | պարուրավոր օրացույց | օրացույց
🗜	մամլակ	մամլակ | մամլիչ
🗝	հին բանալի	բանալի | կողպեք | հին
🗞	կլորացրած լրագիր	թերթ | լրագիր | կլորացրած | նորություններ
🗡	դաշույն	դանակ | դաշույն | զենք
🗣	խոսացող գլուխ	գլուխ | դեմք | խոսալ | խոսացող | ուրվագիծ
🗨	խոսքի ձախակողմյա ամպիկ	երկխոսություն | խոսք | խոսքի ձախակողմյա ամպիկ
🗯	զայրույթի աջակողմյա ամպիկ	զայրույթ | զայրույթի աջակողմյա ամպիկ | խենթ | պղպջակ | փուչիկ
🗳	քվեատուփ քվեաթերթիկով	տուփ | քվեաթերթիկ | քվեատուփ քվեաթերթիկով
🗺	աշխարհի քարտեզ	աշխարհ | աշխարհի քարտեզ | քարտեզ
🛋	բազմոց և լամպ	բազմոց | բազմոց և լամպ | լամպ | հյուրանոց
🛍	գնումների պայուսակ	գնումներ | գնումների պայուսակ | հյուրանոց | պայուսակ
🛎	հյուրանոցային զանգ	զանգ | հյուրանոց | հյուրանոցային զանգ
🛏	մահճակալ	հյուրանոց | մահճակալ | քնել
🛠	մուրճ և պտուտակաբանալի	գործիք | մուրճ | մուրճ և պտուտակաբանալի | պտուտակաբանալի
🛡	վահան	զենք | վահան
🛢	նավթի տակառ	նավթ | նավթի տակառ | տակառ
🛣	ավտոմայրուղի	ավտոմայրուղի | ճանապարհ | մայրուղի
🛤	երկաթուղի	գնացք | երկաթուղի
🛥	մոտորանավակ	մոտորանավակ | նավակ | փոխադրամիջոց
🛩	փոքր ինքնաթիռ	ինքնաթիռ | փոխադրամիջոց | փոքր ինքնաթիռ
🛰	արբանյակ	արբանյակ | տիեզերք | փոխադրամիջոց
🛳	ուղևորատար նավ	նավ | ուղևոր | ուղևորատար նավ | փոխադրամիջոց
