# CLDR symbol names for hy: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
!	բացականչության նշան	բացականչության կետ | բացականչության նշան | բացականչություն | հարված
₣	ֆրանսական ֆրանկ	արժույթ | ֆրանկ | ֆրանսական ֆրանկ
₤	լիրա	արժույթ | լիրա
₥	միլ	միլ
₦	նիգերիական նայրա	
₨	ռուպի	արժույթ | ռուպի
₩	վոն	վոն
₪	Իսրայելի նոր շեկել	
₫	վիետնամական դոնգ	
€	եվրո	EUR | արժույթ | եվրո
₭	լաոսական կիպ	
₮	մոնղոլական տուգրիկ	
₰	գերմանական փեննի	արժույթ | գերմանական փեննի | պֆենիգ
₱	պեսո	պեսո
₲	պարագվայական գուարանի	
₳	ավստրալ	ARA | ավստրալ | արժույթ
₴	ուկրաինական գրիվնա	
₵	գայանական սեդի	
₶	տուրի լիվր	արժույթ | տուրի լիվր
₷	սպեսմիլո	արժույթ | սպեսմիլո
₸	ղազախական տենգե	
₹	հնդկական ռուփի	արժույթ | հնդկական ռուփի | ռուփի
₺	թուրքական լիրա	
₼	ադրբեջանական մանաթ	
₽	ռուբլի	արժույթ | ռուբլի
₾	վրացական լարի	
₿	բիթկոին	բիթկոին
℗	ձայնագրության պատճենաշնորհ	հեղինակային իրավունք | ձայն | ձայնագրության պատճենաշնորհ | ձայնագրություն | պատճենաշնորհ
™	ապրանքանիշ	ապրանքանիշ | նշան
ℹ	տեղեկատու	i | տեղեկատու | տեղեկատվություն
←	ձախ ուղղված սլաք	ձախ | ձախ ուղղված սլաք | սլաք
↑	վեր ուղղված սլաք	սլաք | վեր | վեր ուղղված սլաք
→	աջ ուղղված սլաք	աջ | աջ ուղղված սլաք | սլաք
↓	վար ուղղված սլաք	սլաք | վար | վար ուղղված սլաք
↔	ձախ-աջ սլաք	աջ-ձախ սլաք | ձախ-աջ սլաք | սլաք
↕	վերև-ներքև սլաք	սլաք | վերև-ներքև սլաք
↖	վերև ձախ սլաք	հյուսիս-արևմուտք | ուղղություն | սլաք | վերև ձախ սլաք
↗	վերև աջ սլաք	հյուսիս-արևելք | ուղղություն | սլաք | վերև աջ սլաք
↘	ներքև աջ սլաք	հարավ-արևելք | ներքև աջ սլաք | ուղղություն | սլաք
↙	ներքև ձախ սլաք	հարավ-արևմուտք | ներքև ձախ սլաք | ուղղություն | սլաք
↚	ձախ սլաքով գիծ	ձախ սլաքով գիծ
↛	աջ սլաքով գիծ	աջ սլաքով գիծ
↜	ձախ ալիքավոր սլաք	ձախ ալիքավոր սլաք
↝	աջ ալիքավոր սլաք	աջ ալիքավոր սլաք
↞	ձախ երկծայր սլաք	ձախ երկծայր սլաք
↟	վեր երկծայր սլաք	վեր երկծայր սլաք
↠	աջ երկծայր սլաք	աջ երկծայր սլաք
↡	վար երկծայր սլաք	վար երկծայր սլաք
↢	ձախ պոչավոր սլաք	ձախ պոչավոր սլաք
↣	աջ պոչավոր սլաք	աջ պոչավոր սլաք
↤	ձախ սլաք՝ ձողից	ձախ սլաք՝ ձողից
↥	վեր սլաք՝ ձողից	վեր սլաք՝ ձողից
↦	աջ սլաք՝ ձողից	աջ սլաք՝ ձողից
↧	վար սլաք՝ ձողից	վար սլաք՝ ձողից
↨	վեր վար սլաք հիմքով	վեր վար սլաք հիմքով
↩	աջ շրջադարձի սլաք	աջ շրջադարձի սլաք | սլաք
↪	ձախ շրջադարձի սլաք	ձախ շրջադարձի սլաք | սլաք
↫	ձախ սլաքով գալար	ձախ սլաքով գալար
↬	աջ սլաքով գալար	աջ սլաքով գալար
↭	ձախ աջ ալիքավոր սլաք	ձախ աջ ալիքավոր սլաք
↮	ձա աջ սլաքով գիծ	ձա աջ սլաքով գիծ
↯	վար բեկյալ սլաք	բեկյալ | վար բեկյալ սլաք
↰	վեր սլաք ծայրով՝ ձախ	վեր սլաք ծայրով՝ ձախ
↱	վեր սլաք ծայրով՝ աջ	վեր սլաք ծայրով՝ աջ
↲	վար սլաք ծայրով՝ ձախ	վար սլաք ծայրով՝ ձախ
↳	վար սլաք ծայրով՝ աջ	վար սլաք ծայրով՝ աջ
↴	աջ սլաք անկյունով՝ վար	աջ սլաք անկյունով՝ վար
↵	վար սլաք անկյունով՝ ձախ	վար սլաք անկյունով՝ ձախ
↶	ժամացույցին հակառակ վերին կիսաշրջանաձեւ սլաք	ժամացույցին հակառակ վերին կիսաշրջանաձեւ սլաք
↷	ժամացույցի ուղղությամբ վերին կիսաշրջանաձեւ սլաք	ժամացույցի ուղղությամբ վերին կիսաշրջանաձեւ սլաք
↸	հյուսիս-արեւմտյան սլաք երկար ձողով	հյուսիս-արեւմտյան սլաք երկար ձողով
↹	ձողով ձախ սլաք՝ ձողով աջ սլաքի վերեւում	ձողով ձախ սլաք՝ ձողով աջ սլաքի վերեւում
↺	ժամացույցին հակառակ բաց շրջանաձեւ սլաք	ժամացույցին հակառակ բաց շրջանաձեւ սլաք
↻	ժամացույցի ուղղությամբ բաց շրջանաձեւ սլաք	ժամացույցի ուղղությամբ բաց շրջանաձեւ սլաք
↼	ձախ կեռտեգ կեռով՝ վեր	կեռ | ձախ կեռտեգ կեռով՝ վեր
↽	ձախ կեռտեգ կեռով՝ վար	ձախ կեռտեգ կեռով՝ վար
↾	վեր կեռտեգ կեռով՝ աջ	կեռ | վեր կեռտեգ կեռով՝ աջ
↿	վեր կեռտեգ կեռով՝ ձախ	կեռ | վեր կեռտեգ կեռով՝ ձախ
⇀	աջ կեռտեգ կեռով՝ վեր	աջ կեռտեգ կեռով՝ վեր | կեռ
⇁	աջ կեռտեգ կեռով՝ վար	աջ կեռտեգ կեռով՝ վար | կեռ
⇂	վար կեռտեգ կեռով՝ աջ	կեռ | վար կեռտեգ կեռով՝ աջ
⇃	վար կեռտեգ կեռով՝ ձախ	կեռ | վար կեռտեգ կեռով՝ ձախ
⇄	աջ սլաք՝ ձախ սլաքի վերեւում	աջ սլաք՝ ձախ սլաքի վերեւում
⇅	վեր և վար ուղղված սլաքներ	սլաք | վար | վեր | վեր և վար ուղղված սլաքներ
⇆	ձախ ուղղված սլաք՝ աջ ուղղվածի վրա	աջ | ձախ | ձախ ուղղված սլաք՝ աջ ուղղվածի վրա | սլաք
⇇	ձախ զույգ սլաքներ	ձախ զույգ սլաքներ
⇈	վեր զույգ սլաքներ	վեր զույգ սլաքներ
⇉	աջ զույգ սլաքներ	աջ զույգ սլաքներ
⇊	վար զույգ սլաքներ	վար զույգ սլաքներ
⇋	ձախ կեռտեգ աջ կեռտեգի վերեւում	ձախ կեռտեգ աջ կեռտեգի վերեւում
⇌	աջ կեռտեգ ձախ կեռտեգի վերեւում	աջ կեռտեգ ձախ կեռտեգի վերեւում
⇍	ձախ կրկնակի սլաք՝ գծով	ձախ կրկնակի սլաք՝ գծով
⇎	ձախ աջ կրկնակ սլաք՝ գծով	ձախ աջ կրկնակ սլաք՝ գծով
